🚀 XANDER BOT v2.7 – GTO RANGE ENGINE
   Modo: INFINITO | SimMode: 0 | Tavoli: 1
   VPIP teorico: 21.4% | Target: 18-24% | Delay: 0.6s
   Report ogni 300 mani
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[    1] BTN | 4s As (A4s ) | Eq: 59.3% | PO:30.8% | ▶ RAISE | P/L: +3.5BB | VPIP:100.0%
[    2] BB  | 7c Qc (Q7s ) | Eq: 49.7% | PO:23.3% | ▶ CALL  | P/L: -2.0BB | VPIP:100.0%
[    3] UTG | Ah Jc (AJo ) | Eq: 57.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 66.7%
[    4] BB  | Kh 8d (K8o ) | Eq: 55.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 50.0%
[    5] CO  | 6h 4s (64o ) | Eq: 35.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 40.0%
[    6] HJ  | 4c 9c (94s ) | Eq: 44.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 33.3%
[    7] UTG | 9d Tc (T9o ) | Eq: 52.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.6%
[    8] BTN | 7h 6s (76o ) | Eq: 42.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.0%
[    9] BTN | 7h Ah (A7s ) | Eq: 57.9% | PO:26.2% | ▶ RAISE | P/L: +3.5BB | VPIP: 33.3%
[   10] BB  | Jc 9h (J9o ) | Eq: 46.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.0%
[   11] UTG | 6h 3s (63o ) | Eq: 36.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 27.3%
[   12] BB  | 6d Kh (K6o ) | Eq: 45.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.0%
[   13] CO  | 4d Jh (J4o ) | Eq: 46.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.1%
[   14] CO  | 8c Js (J8o ) | Eq: 51.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.4%
