🚀 XANDER BOT v2.7 – GTO RANGE ENGINE
   Modo: INFINITO | SimMode: 0 | Tavoli: 1
   VPIP teorico: 21.2% | Target: 18-24% | Delay: 0.6s
   Report ogni 300 mani
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[    1] UTG | 9c Qs (Q9o ) | Eq: 50.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP:  0.0%
[    2] CO  | Js 5d (J5o ) | Eq: 44.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP:  0.0%
[    3] UTG | 6d 8d (86s ) | Eq: 42.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP:  0.0%
[    4] BTN | Qc Ah (AQo ) | Eq: 61.9% | PO:32.9% | ▶ RAISE | P/L: +3.5BB | VPIP: 25.0%
[    5] BB  | Ad Qc (AQo ) | Eq: 65.2% | PO:29.6% | ▶ RAISE | P/L: -3.0BB | VPIP: 40.0%
[    6] HJ  | Jc 7h (J7o ) | Eq: 48.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 33.3%
[    7] BTN | 7d Kh (K7o ) | Eq: 47.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.6%
[    8] BTN | 4c Ah (A4o ) | Eq: 56.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.0%
[    9] BTN | Qs Td (QTo ) | Eq: 53.3% | PO:24.0% | ▶ RAISE | P/L: -3.0BB | VPIP: 33.3%
[   10] BTN | As Qc (AQo ) | Eq: 65.4% | PO:24.7% | ▶ RAISE | P/L: +3.5BB | VPIP: 40.0%
[   11] BB  | 6d 2h (62o ) | Eq: 29.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 36.4%
[   12] UTG | 7s 6c (76o ) | Eq: 45.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 33.3%
[   13] CO  | 8s 3c (83o ) | Eq: 37.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 30.8%
[   14] CO  | 9h 5d (95o ) | Eq: 37.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 28.6%
[   15] BB  | 4h Td (T4o ) | Eq: 42.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.7%
[   16] HJ  | 7h 4h (74s ) | Eq: 43.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.0%
